id,loan_status,prob
58645,1,0.9126
58646,0,0.027
58647,0,0.4241
58648,0,0.0294
58649,0,0.1813
58650,1,0.9036
58651,0,0.003
58652,0,0.0171
58653,0,0.23
58654,0,0.0355
58655,0,0.0696
58656,0,0.1699
58657,0,0.0399
58658,0,0.0131
58659,0,0.0311
58660,0,0.0946
58661,0,0.0135
58662,0,0.0023
58663,0,0.043
58664,0,0.0043
58665,0,0.0624
58666,0,0.0121
58667,0,0.0064
58668,0,0.0179
58669,0,0.0142
58670,0,0.0043
58671,0,0.2246
58672,0,0.0088
58673,1,0.8025
58674,0,0.004
58675,0,0.0217
58676,0,0.2096
58677,0,0.031
58678,0,0.0079
58679,0,0.4333
58680,1,0.9336
58681,0,0.0456
58682,0,0.0046
58683,0,0.0205
58684,0,0.0972
58685,0,0.1433
58686,0,0.0279
58687,0,0.2735
58688,0,0.0245
58689,0,0.2679
58690,0,0.0012
58691,0,0.0389
58692,0,0.0422
58693,0,0.0117
58694,0,0.0303
58695,1,0.6944
58696,0,0.035
58697,0,0.0743
58698,0,0.0283
58699,0,0.0206
58700,0,0.0096
58701,0,0.0162
58702,0,0.0312
58703,0,0.1262
58704,0,0.2379
58705,0,0.2504
58706,0,0.075
58707,0,0.0203
58708,0,0.0325
58709,1,0.8361
58710,0,0.0303
58711,1,0.8546
58712,0,0.0402
58713,0,0.0053
58714,0,0.0451
58715,0,0.0091
58716,0,0.0685
58717,0,0.017
58718,0,0.1787
58719,0,0.0069
58720,0,0.0021
58721,0,0.096
58722,0,0.1572
58723,0,0.0285
58724,0,0.0204
58725,0,0.0287
58726,0,0.0213
58727,0,0.2898
58728,0,0.1386
58729,0,0.0118
58730,0,0.013
58731,0,0.0215
58732,0,0.0705
58733,0,0.0009
58734,0,0.0227
58735,0,0.029
58736,0,0.1183
58737,0,0.0704
58738,1,0.9337
58739,0,0.2849
58740,1,0.6202
58741,0,0.0412
58742,0,0.0101
58743,0,0.0446
58744,0,0.0161
58745,0,0.0132
58746,0,0.0602
58747,0,0.0123
58748,0,0.0252
58749,0,0.0356
58750,0,0.0222
58751,0,0.0592
58752,1,0.9075
58753,0,0.0093
58754,0,0.0633
58755,0,0.0768
58756,0,0.0087
58757,0,0.036
58758,0,0.0131
58759,0,0.0015
58760,0,0.002
58761,0,0.018
58762,0,0.0109
58763,1,0.9499
58764,0,0.004
58765,0,0.0577
58766,0,0.0166
58767,0,0.0239
58768,1,0.9319
58769,0,0.019
58770,0,0.0429
58771,0,0.1011
58772,0,0.0295
58773,0,0.0337
58774,0,0.0241
58775,1,0.9095
58776,1,0.8049
58777,0,0.0246
58778,0,0.0357
58779,0,0.0433
58780,0,0.017
58781,0,0.0328
58782,0,0.0481
58783,0,0.0871
58784,0,0.013
58785,0,0.0107
58786,0,0.0223
58787,0,0.0459
58788,0,0.1412
58789,0,0.0586
58790,0,0.0651
58791,0,0.1316
58792,0,0.0015
58793,0,0.0564
58794,0,0.0244
58795,0,0.0448
58796,0,0.0358
58797,0,0.0304
58798,0,0.0927
58799,1,0.5996
58800,0,0.056
58801,0,0.0077
58802,1,0.848
58803,0,0.1223
58804,0,0.4989
58805,1,0.742
58806,0,0.0561
58807,0,0.0141
58808,0,0.016
58809,1,0.937
58810,1,0.8997
58811,0,0.0338
58812,0,0.0564
58813,0,0.0225
58814,0,0.0693
58815,0,0.0224
58816,0,0.0241
58817,0,0.0039
58818,0,0.0647
58819,0,0.1267
58820,0,0.0054
58821,0,0.0355
